date,model,mode,timestamp,level,passed,failed,executed,score
20251024-1-python,codellama-13b,direct,20251027-124148,3,3,281,23,0.01056338028169014
20251024-1-python,codellama-34b,direct,20251027-120902,3,0,284,0,0.0
20251024-1-python,deepseek-coder-33b,direct,20251027-125123,3,9,275,98,0.03169014084507042
20251024-1-python,deepseek-coder-6.7b,direct,20251027-131027,3,1,283,25,0.0035211267605633804
20251024-1-python,gemma3-12b,cascade,20251024-131206,1,9,275,37,0.03169014084507042
20251024-1-python,gemma3-12b,cascade,20251024-152512,2,1,283,6,0.0035211267605633804
20251024-1-python,gemma3-12b,direct,20251025-035647,1,3,281,31,0.01056338028169014
20251024-1-python,gemma3-12b,direct,20251026-000440,2,7,277,37,0.02464788732394366
20251024-1-python,gemma3-12b,direct,20251026-124526,3,19,265,152,0.06690140845070422
20251024-1-python,gemma3-27b,cascade,20251024-164054,1,4,280,27,0.014084507042253521
20251024-1-python,gemma3-27b,cascade,20251024-191431,2,4,280,28,0.014084507042253521
20251024-1-python,gemma3-27b,direct,20251026-153202,1,7,277,37,0.02464788732394366
20251024-1-python,gemma3-27b,direct,20251026-160357,2,7,277,37,0.02464788732394366
20251024-1-python,gemma3-27b,direct,20251026-163553,3,31,253,167,0.10915492957746478
20251024-1-python,gpt-oss-20b,cascade,20251027-144655,1,16,268,67,0.056338028169014086
20251024-1-python,gpt-oss-20b,cascade,20251027-231354,2,5,279,62,0.017605633802816902
20251024-1-python,gpt-oss-20b,direct,20251028-103017,1,15,269,105,0.0528169014084507
20251024-1-python,gpt-oss-20b,direct,20251028-111620,2,7,277,47,0.02464788732394366
20251024-1-python,gpt-oss-20b,direct,20251028-115311,3,41,243,162,0.1443661971830986
20251024-1-python,llama3.1-8b,cascade,20251025-021937,1,4,280,31,0.014084507042253521
20251024-1-python,llama3.1-8b,cascade,20251025-023857,2,2,282,17,0.007042253521126761
20251024-1-python,llama3.1-8b,direct,20251027-115021,1,0,284,0,0.0
20251024-1-python,llama3.1-8b,direct,20251027-115407,2,1,283,6,0.0035211267605633804
20251024-1-python,llama3.1-8b,direct,20251027-115903,3,0,284,0,0.0
20251024-1-python,llama3.3-70b,cascade,20251024-221451,1,7,277,42,0.02464788732394366
20251024-1-python,llama3.3-70b,cascade,20251024-234322,2,5,279,37,0.017605633802816902
20251024-1-python,llama3.3-70b,direct,20251026-185922,1,29,255,164,0.10211267605633803
20251024-1-python,llama3.3-70b,direct,20251026-201451,2,5,279,31,0.017605633802816902
20251024-1-python,llama3.3-70b,direct,20251027-023405,3,17,267,46,0.05985915492957746
20251024-1-python,phi4-14b,cascade,20251024-205026,2,0,284,0,0.0
20251024-1-python,phi4-14b,direct,20251026-171609,1,14,270,107,0.04929577464788732
20251024-1-python,phi4-14b,direct,20251026-173028,2,6,278,19,0.02112676056338028
20251024-1-python,phi4-14b,direct,20251026-174741,3,36,248,207,0.1267605633802817
20251024-1-python,qwen2.5-coder-14b,direct,20251026-184354,3,1,283,8,0.0035211267605633804
20251024-1-python,qwen2.5-coder-32b,direct,20251026-180746,3,25,259,149,0.0880281690140845
20251024-1-python,qwen3-14b,cascade,20251028-033643,1,0,284,0,0.0
20251024-1-python,qwen3-14b,cascade,20251028-043312,2,3,281,28,0.01056338028169014
20251024-1-python,qwen3-14b,direct,20251028-151558,1,6,278,53,0.02112676056338028
20251024-1-python,qwen3-14b,direct,20251028-153838,2,9,275,51,0.03169014084507042
20251024-1-python,qwen3-14b,direct,20251028-160505,3,15,269,83,0.0528169014084507
20251024-1-python,qwen3-30b,cascade,20251028-054300,1,13,271,78,0.045774647887323945
20251024-1-python,qwen3-30b,cascade,20251028-062711,2,25,259,107,0.0880281690140845
20251024-1-python,qwen3-30b,direct,20251028-163205,1,11,273,114,0.03873239436619718
20251024-1-python,qwen3-30b,direct,20251028-172008,2,18,266,53,0.06338028169014084
20251024-1-python,qwen3-30b,direct,20251028-181114,3,43,241,247,0.15140845070422534
